cnpj,cgf,razaoSocial,regime,cadastro_dominio
15122739000143,65974123,FORTVISION COMERCIO DE PRODUTOS OPTICOS LTDA,MICROEMPRESA,257
33384059000180,69359202,J. L. E. DE OLIVEIRA SR PANDINHA,MICROEMPRESA,204
20951181000149,63483297,ADE COMERCIO DE CALCADOS LTDA,NORMAL,482
33912498000118,69551715,MASTER CAIXAS EMBALAGENS LTDA,NORMAL,517
33912498000118,69551715,MASTER CAIXAS EMBALAGENS LTDA,NORMAL,517
32084111000110,67915841,OCULART OTICA LTDA,EPP,426
22850504000133,64710580,CARIRI COMÉRCIO DE ARTIGOS OPTICOS LTDA. - ME,EPP,612
32343397000100,67940188,LIBERTY JEANS LTDA,NORMAL,149
36220012000179,62507168,UAU CAFETERIA LTDA,MICROEMPRESA,235
20951181000491,67364829,ADE COMERCIO DE CALCADOS LTDA,NORMAL,485
20373830000171,63350661,OBA FESTAS LTDA,NORMAL,445
03854920000165,62993950,S & A COMERCIO DE ARTIGOS OPTICOS LTDA ME,EPP,619
33912498000118,69551715,MASTER CAIXAS EMBALAGENS LTDA,NORMAL,517
22749300000100,64570711,HIDRAULICA CEARENSE SERVICO E MANUTENCAO LTDA,NORMAL,423
32343397000100,67940188,LIBERTY JEANS LTDA,NORMAL,149
11618173000437,65255577,RMG-CE COMERCIO DE CALCADOS LTDA,NORMAL,472
20951181000300,64423875,ADE COMERCIO DE CALCADOS LTDA,NORMAL,484
11618173000194,63929171,RMG-CE COMERCIO DE CALCADOS LTDA,NORMAL,471
21196487000108,64325555,COOPERATIVA AGROPECUARIA E DE SERVICOS NOSSA SENHORA APARECI,NORMAL,563
32343397000100,67940188,LIBERTY JEANS LTDA,NORMAL,149
36181497000139,62097849,ESTALEIRO BEBIDAS LTDA,NORMAL,3
11618173000194,63929171,RMG-CE COMERCIO DE CALCADOS LTDA,NORMAL,471
36220012000179,62507168,UAU CAFETERIA LTDA,MICROEMPRESA,235
03175564000153,62811002,F J MELO MATERIAL DE CONSTRUCAO LTDA,NORMAL,819
11618173000194,63929171,RMG-CE COMERCIO DE CALCADOS LTDA,NORMAL,471
03175564000153,62811002,F J MELO MATERIAL DE CONSTRUCAO LTDA,NORMAL,819
22850504000133,64710580,CARIRI COMÉRCIO DE ARTIGOS OPTICOS LTDA. - ME,EPP,612
22749300000100,64570711,HIDRAULICA CEARENSE SERVICO E MANUTENCAO LTDA,NORMAL,423
38295532000176,71481320,STRONG ENERGY LTDA - ME,NORMAL,124
39755367000150,62409794,G MENDES BASTOS COMESTICOS LTDA,MICROEMPRESA,391
10968080000208,65042018,A & S COMERCIO DE ARTIGOS OPTICOS LTDA ME,EPP,636
10968080000127,63818426,A & S COMERCIO DE ARTIGOS OPTICOS LTDA ME,EPP,617
10968080000208,65042018,A & S COMERCIO DE ARTIGOS OPTICOS LTDA ME,EPP,636
38295532000176,71481320,STRONG ENERGY LTDA - ME,NORMAL,124
33912498000118,69551715,MASTER CAIXAS EMBALAGENS LTDA,NORMAL,517
10968080000127,63818426,A & S COMERCIO DE ARTIGOS OPTICOS LTDA ME,EPP,617
42776403000177,70073490,ARANORD ARAMADOS NORDESTE SERVICOS E COMERCIO LTDA - EPP,NORMAL,738
00091966000181,69216509,DOMANI INTERMEDIACOES LTDA,EPP,614
05646748001070,64187853,UCHOA COMERCIO DE GAS LTDA,NORMAL,297
39426970000199,62269216,MARINE COMERCIO DE PEIXES E CORAIS LTDA,MICROEMPRESA,324
10712266000110,63789450,E & E COMERCIO DE ARTIGOS OPTICOS LTDA,EPP,611
10463419000133,63732254,MARQUES PET SHOP LTDA,MICROEMPRESA,33
39452463000120,62330667,COMERCIO COLCHOES DOS SONHOS LTDA,MICROEMPRESA,547
05646748000856,66050090,UCHOA COMERCIO DE GAS LTDA,NORMAL,295
40018474000185,61263001,FILE PRIME RESTAURANTE LTDA,NORMAL,788
41393030000192,61268119,EMPACOTADORA DE ALIMENTOS VO MANNY LTDA,NORMAL,679
20743516000133,63534398,HOLANDA MAIA COMERCIO DE MEDICAMENTOS LTDA,NORMAL,22
18914734000141,67134270,PARANGABA VISION COMERCIO DE PRODUTOS OPTICOS LTDA,MICROEMPRESA,252
18452941000121,65189248,S B C INDUSTRIA E COMERCIO DE CONFECCOES E EQUIPAMENTOS LTDA,NORMAL,29
08994871000260,63725878,BESERRA e SILVA COMERCIO DE OCULOS LTDA,EPP,635
02908742000579,72170352,NUTRICAO COMERCIO E SERVICOS LTDA,NORMAL,514
40018474000185,61263001,FILE PRIME RESTAURANTE LTDA,NORMAL,788
39426970000199,62269216,MARINE COMERCIO DE PEIXES E CORAIS LTDA,MICROEMPRESA,324
05646748000694,63995603,UCHOA COMERCIO DE GAS LTDA,NORMAL,294
08427279000104,62019139,E V X COMERCIO DE ARTIGOS OPTICOS LTDA,MICROEMPRESA,264
39452463000120,62330667,COMERCIO COLCHOES DOS SONHOS LTDA,MICROEMPRESA,547
08393493000189,62011308,MARACANAU VISION COMERCIO DE ARTIGOS OPTICOS LTDA-ME,MICROEMPRESA,261
36965599000145,62570790,SHIRLLEY MARA BESSA PEREIRA - ME,MICROEMPRESA,836
05646748000694,63995603,UCHOA COMERCIO DE GAS LTDA,NORMAL,294
