cgce_emp,codi_emp,fantasia_emp,razao_emp
'36181497000139',3,'ESTALEIRO BEBIDAS','ESTALEIRO BEBIDAS LTDA'
'22479806000147',5,'RUBI DISTRIBUIDORA DE CEMENTES E CEREAIS','A.H. DE FREITAS COSTA'
'42077510000107',6,'DEBITT CONTABILIDADE','DEBITT CONTABILIDADE DIGITAL LTDA'
'65116744000111',843,'2M PINTURA ELETROSTATICA','M&M PINTURA ELETROSTATICA LTDA'
'13258237000119',9,'NIPAMIX','NIPAN MASSAS CONGELADAS LTDA - ME.'
'36142836000178',267,'LS ESPACO BEAUTY','J L DE SOUSA ARRUDA SERVIÇOS LTDA'
'49287663000128',270,'ACAI DA SAFRA ITAPIPOCA','L R CARVALHO E CIA LTDA'
'51201530000139',271,'DS OPTICA','DS OPTICA LTDA'
'43570576000105',46,'A C M NUTRICAO','A C M SERVICOS DE NUTRICAO GERIATRICA LTDA'
'43836199000103',64,'GM TECHNOLOGY AND CONSULTING','GUILHERME VIEIRA DE MORAES'
'15024264000152',61,'KI SORVETAO','ITALO J B BARROS'
'07516056000142',14,'FCO CONJ','FRANCISCO DAS CHAGAS DE ALMEIDA BARROSO'
'00169175000127',15,'GIRASOL MODA PRAIA','MARIA AURILENE DE SOUZA CAMURÇA ME'
'36410673000167',19,'FARMACIA BELA VISTA','J P SILVA COMERCIO DE PRODUTOS FARMACEUTICOS'
'23486871000162',21,'FRANCISCO EVANILDO','FRANCISCO EVANILDO LIMA DA SILVA ME'
'20743516000133',22,'FARMACIA ESPACO SAUDE VIP','HOLANDA MAIA COMERCIO DE MEDICAMENTOS LTDA EPP'
'10463419000133',33,'PRO - HANIMALLY-S','MARQUES PET SHOP LTDA'
'49385622000174',195,'ACO ESTRUTURAL','ACO ESTRUTURAL LTDA'
'49461923000130',197,'DEDETIZADORA MAGALHAES','DEDETIZADORA MAGALHAES LTDA'
'18452941000121',29,'SBC MILITAR','S B C INDUSTRIA E COMERCIO DE CONFECCOES E EQUIPAMENTOS LTDA.'
'73796088000173',31,'REDE AMBIENTAL','REDE AMBIENTAL COMERCIO E SERVIÇOS LTDA '
'28429030000137',36,'ANA CONCEITO','A L S MENDES-MOVEIS'
'28429030000218',37,'ANA CONCEITO','A L S MENDES-MOVEIS'
'26244766000105',68,'BRENO AUGUSTO CARDOSO BARROSO','BRENO AUGUSTO CARDOSO BARROSO'
'06538544000198',48,'J C CESTAS BASICAS','JIMMY CARLOS N DE SOUSA'
'42781752000187',49,'INARIO CORTINAS & DECORACAO','INARIO INDUSTRIA E COMERCIO DE PERSIANAS E CORTINAS LTDA'
'09237792000197',38,'FARMACIA UNIAO','COMERCIAL DE MEDICAMENTO ITAPERY LTDA'
'01639337000106',40,'SABOR DOCES & SALGADOS','SABOR DOCES & SALGADOS LTDA'
'27040637000168',41,'VILA ACAI','VILA ACAI LTDA'
'27040637000249',42,'VILA ACAI','VILA ACAI LTDA'
'37136628000129',543,'FORTAL FRIOS','D. RAMOS DE ARAUJO COMERCIO DE ALIMENTOS LTDA'
'34292467000174',43,'VILA ACAI','VILA ACAI BM LTDA'
'31056639000112',516,'','31.056.639 ANNA BEATRIZ LIMA D AVILA'
'33912498000118',517,'MASTER CAIXAS EMBALAGENS','MASTER CAIXAS EMBALAGENS LTDA'
'54344813000128',518,'MASTER CAIXAS SERVICOS','MASTER CAIXAS SERVICOS LTDA'
